id,smiles
CHEMBL1307919,Cc1cc(C)c2c(N)c(C(=O)Nc3ncc(C)s3)sc2n1
CHEMBL1456099,COCCn1c(C)cc(C(=O)CSc2nnc3ccccn23)c1C
CHEMBL1426911,COc1ccc(C2=Nc3ccccc3OC2)cc1
CHEMBL1978424,O=c1/c(=C/c2ccccn2)sc2nc3ccccc3n12
CHEMBL1454247,Cc1ccc(OCc2nc(-c3ccccn3)no2)c(Br)c1
CHEMBL1543337,Cc1ccc(-c2cc3c(N=O)c4ccccc4c-3[nH]n2)cc1
CHEMBL264933,CN(C)c1ccc(N/C=C\C(=O)c2ccccc2)cc1
CHEMBL1492001,COC(=O)c1sccc1NC(=O)Nc1cccc(C)c1
CHEMBL1332602,CCCC(=O)Nc1ccc(-c2nc3cc(C)ccc3o2)cc1
CHEMBL1383312,CN(C)c1ccc(N=Nc2nc3ccccc3n2C)cc1
CHEMBL259805,Cc1ccc(-c2nc(-c3ccccn3)no2)cc1Cl
CHEMBL1366347,O=C(Nc1ccccn1)c1cc2ccccc2o1
CHEMBL2164485,CC(C)n1ccc2c(Oc3ccc(N)cc3)ncnc12
CHEMBL1603691,CCCCN(C)C(=O)c1cc2cc3ccc(OC)cc3nc2s1
CHEMBL1360618,O=Nc1c2cc(-c3ccccc3)n[nH]c-2c2ccccc12
CHEMBL1460869,CCN(CC)C(=O)c1ccc(NC(=O)Nc2ccccc2F)cc1
CHEMBL1498591,Cc1ccc(-c2nc3cc(NC(=O)C(C)C)ccc3o2)cc1
CHEMBL3197506,O=C(N/N=C/c1ccc([N+](=O)[O-])s1)c1ccccc1Br
CHEMBL1430094,COc1ccc(C(=O)Nc2nc3ccccc3s2)c(OC)c1
CHEMBL3192393,Brc1ccc(-c2nc(N/N=C/c3cccnc3)c3ccccc3n2)cc1
CHEMBL3199298,COc1ccc(C(=O)/C=C/Nc2cccc(O)c2)cc1
CHEMBL1492671,COC(=O)c1sc(NC(=O)c2ccc(OC)cc2OC)nc1C
CHEMBL1523955,O=C(/C=C/Nc1ccc(Br)cc1F)c1cccs1
CHEMBL1304770,CCN=C(S)NNC(=O)c1cc(-c2cccc(OC)c2)nc2ccccc12
CHEMBL1519965,COc1ccc(-c2cc3nc(C)n(N)c(=O)c3s2)cc1
CHEMBL408850,COc1ccc2nc(NC(=O)c3ccoc3C)sc2c1
CHEMBL475627,COc1ccc(-c2cc3nnc(-c4ccccc4)nc3s2)cc1
