InChI_Key,set,smiles,molecule_chembl_id,molwt,scf,id,ina_dir
YTUICHKHZZLYFO-UHFFFAOYSA-N,PubChem,OCC1OC(c2ccccc2)OC2COC(c3ccccc3)OC12,CHEMBL1871469,328.36400000000003,CCC1CC(C2CCCCC2)CC2CCC(C3CCCCC3)CC12,DCM-96617,/tmp/temp/ina_vdni7tn2
MUFKIHYSAZGQHM-UHFFFAOYSA-N,PubChem,Cc1cccc(C)c1NC(=O)CN(C)C(=O)CSC(=S)N1CCCC1,CHEMBL1877320,379.5510000000001,CC(CC(C)C(C)CCC(C)C1CCCC1)CC1C(C)CCCC1C,DCM-15152,/tmp/temp/ina_vdni7tn2
KZYCHOCSMCMLMF-UHFFFAOYSA-N,PubChem,CCCc1nnc(SCC(=O)N(CC)CC)n1CC1CCCO1,CHEMBL1881620,340.49300000000005,CCCC1CCC(CCC(C)C(CC)CC)C1CC1CCCC1,DCM-5267,/tmp/temp/ina_vdni7tn2
OWMDRJYNCBORGJ-UHFFFAOYSA-N,PubChem,CCCCN(C(=O)c1ccc(-c2ccc(Cl)cc2)o1)c1c(N)n(CCCC)c(=O)[nH]c1=O,CHEMBL1476597,458.94600000000025,CCCCC1C(C)CC(C)C(C(CCCC)C(C)C2CCC(C3CCC(C)CC3)C2)C1C,DCM-56406,/tmp/temp/ina_vdni7tn2
NSZXFENYJBRETC-UHFFFAOYSA-N,PubChem,CCN(C(N)=Nc1nc(C)cc(C)n1)c1ccccc1,CHEMBL1308310,269.352,CCC(C(C)CC1CC(C)CC(C)C1)C1CCCCC1,DCM-54633,/tmp/temp/ina_vdni7tn2
ZFRADEHVPXXWKF-UHFFFAOYSA-N,PubChem,C=CCOc1ccccc1C1C2=C(CC(C)(C)CC2=O)Nc2c1c(=O)n(C)c(=O)n2C,not found,421.4970000000002,CCCCC1CCCCC1C1C2C(C)CC(C)(C)CC2CC2C(C)C(C)C(C)C(C)C21,DCM-50041,/tmp/temp/ina_vdni7tn2
YQSZHCXCUDINAM-UHFFFAOYSA-N,both,COc1ccc(-n2nc(C)cc2N)cc1,CHEMBL1572671,203.245,CCC1CCC(C2CC(C)CC2C)CC1,DCM-586,/tmp/temp/ina_vdni7tn2
QTPZUUASXILXDO-UHFFFAOYSA-N,PubChem,CC(C)(C)S(=O)(=O)c1cnc(N2CCCC2)nc1N,CHEMBL1732209,284.385,CC1CC(C2CCCC2)CCC1C(C)(C)C(C)(C)C,DCM-51800,/tmp/temp/ina_vdni7tn2
AMAHSKRMNCEGJA-UHFFFAOYSA-N,PubChem,Cn1c(SCc2cc([N+](=O)[O-])cc3c2OCOC3)nnc1-c1ccccn1,CHEMBL1520154,385.405,CC(C)C1CC2CCCCC2C(CCC2CCC(C3CCCCC3)C2C)C1,DCM-59048,/tmp/temp/ina_vdni7tn2
JYXOKRBMXAXZGP-UHFFFAOYSA-N,PubChem,CCOc1ccccc1OC(=O)c1ccco1,CHEMBL1605389,232.235,CCCC1CCCCC1CC(C)C1CCCC1,DCM-58008,/tmp/temp/ina_vdni7tn2
NHMJILZSFPQACL-UHFFFAOYSA-N,PubChem,CCN(CC)S(=O)(=O)c1ccc(C(=O)NC(=S)N(CCC#N)Cc2cccnc2)cc1,CHEMBL1494198,459.59700000000026,CCCCC(CC1CCCCC1)C(C)CC(C)C1CCC(C(C)(C)C(CC)CC)CC1,DCM-12167,/tmp/temp/ina_vdni7tn2
WWGGGECSAAPBMU-UHFFFAOYSA-N,PubChem,Cc1nn(CCC(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2)c(C)c1C,CHEMBL1309192,390.5090000000001,CC(CCC1CC(C)C(C)C1C)C1CCC(C(C)(C)C2CCCCC2)CC1,DCM-61939,/tmp/temp/ina_vdni7tn2
VAEVMBLOEKKJCA-UHFFFAOYSA-N,PubChem,CN(Cc1ccccc1)C(=O)COC(=O)c1ccc(=O)n(Cc2ccccc2)n1,CHEMBL1317089,391.4270000000001,CC(CCC(C)C1CCC(C)C(CC2CCCCC2)C1)C(C)CC1CCCCC1,DCM-36149,/tmp/temp/ina_vdni7tn2
NWUOCTORPRNIAN-UHFFFAOYSA-N,Novartis,N#CC(C#N)=CNc1ccc(Cl)cc1Cl,not found,238.077,CCC(CC)CCC1CCC(C)CC1C,DCM-114438,/tmp/temp/ina_vdni7tn2
QMBHBNHURNGTAS-UHFFFAOYSA-N,PubChem,CSCCC(CO)NC(=O)OCc1ccccc1,CHEMBL1548964,269.366,CCCCC(CC)CC(C)CCC1CCCCC1,DCM-2707,/tmp/temp/ina_vdni7tn2
LFULISIPSBADSX-UHFFFAOYSA-N,Novartis,CCC(C)C(NS(=O)(=O)c1ccc(Cl)cc1)C(=O)O,not found,305.783,CCC(C)C(CC(C)(C)C1CCC(C)CC1)C(C)C,DCM-114284,/tmp/temp/ina_vdni7tn2
WENXICOYHXGPFD-UHFFFAOYSA-N,PubChem,Cn1c2cc(C#N)sc2c2cnn(Cc3ccc(F)cc3)c(=O)c21,CHEMBL1521954,338.367,CCC1CC2C(C)C3C(C)C(CC4CCC(C)CC4)CCC3C2C1,DCM-9460,/tmp/temp/ina_vdni7tn2
XIRDGODJHNSCGD-UHFFFAOYSA-N,PubChem,CCOC(=O)NNC(=O)C1CCC(C)CC1,CHEMBL1525785,228.292,CCCC(C)CCC(C)C1CCC(C)CC1,DCM-84277,/tmp/temp/ina_vdni7tn2
